word,word_count,cluster,distance_to_cluster_centroid,pca_x,pca_y
hours,58,2,1.8918228149414062,4.206105709075928,3.077941656112671
minutes,30,2,3.190124988555908,3.724449634552002,3.3216328620910645
says,26,1,4.601475238800049,0.3226710259914398,-1.3353044986724854
£,17,3,6.917177677154541,-0.12853534519672394,2.1755621433258057
m,17,3,5.184279441833496,-0.4707167148590088,1.365627408027649
cut,17,1,4.973084449768066,0.8975323438644409,-0.5390392541885376
UK,15,4,4.775652885437012,-1.2176182270050049,-0.9901936054229736
abuse,15,0,5.538633823394775,0.7610892057418823,-2.015515089035034
58,15,3,3.792004346847534,0.010795289650559425,2.0879576206207275
3,15,3,3.9281444549560547,0.3854249119758606,2.131455183029175
baby,13,1,5.971395969390869,0.6364902853965759,-0.7843353748321533
hour,13,2,2.7268035411834717,3.5586555004119873,2.6255948543548584
NHS,12,4,5.625980854034424,-2.015104293823242,-0.8029899597167969
Symonds,11,4,5.4331254959106445,-3.2494702339172363,0.9381588697433472
76,11,3,4.198736190795898,-0.3433968424797058,1.8927361965179443
BBC,11,4,4.706283092498779,-2.2090086936950684,-0.13944189250469208
pledges,11,1,5.4998674392700195,-0.010067044757306576,-1.2939794063568115
support,11,1,5.094395160675049,0.8132799863815308,-1.9509857892990112
ensure,10,1,4.8872761726379395,1.344590663909912,-1.897340178489685
vulnerable'The,10,-1,0.0,-1.5349303483963013,0.8428287506103516
accommodation,10,3,7.608358383178711,0.3253149390220642,-0.454831063747406
safe,10,1,4.907501220703125,1.315693736076355,-1.5050336122512817
communities,10,0,5.798790454864502,0.7442174553871155,-3.023667097091675
funds,10,0,5.790597915649414,0.8521102666854858,-2.1863608360290527
east,10,3,6.0313897132873535,0.4143710434436798,-0.4248186945915222
survivors,10,0,5.107974052429199,0.9171805381774902,-1.5501134395599365
injured,10,0,5.278475284576416,1.4862174987792969,-0.9134334921836853
secretary,9,1,6.432406425476074,-0.17412644624710083,-1.1232340335845947
patients,9,0,6.342289924621582,2.0515363216400146,-1.2197048664093018
people,8,1,4.265174865722656,1.7877838611602783,-1.7920548915863037
"8,000",8,0,5.684133529663086,0.33215561509132385,0.45664191246032715
breaking,8,1,4.329072952270508,0.7028655409812927,-0.7614568471908569
Royce,8,4,6.3105316162109375,-2.226379156112671,-0.0946747437119484
day,7,1,4.282262802124023,2.4572227001190186,0.5917937159538269
production,7,1,6.06309700012207,0.4432736933231354,-1.0105527639389038
firm,7,1,6.048591613769531,0.544087827205658,-1.502842903137207
home,7,1,4.718161106109619,1.2828917503356934,-1.0771708488464355
questions,7,1,5.152284145355225,1.0043925046920776,-0.9614647030830383
pandemic.1han,7,-1,0.0,-1.5349303483963013,0.8428287506103516
jobs'The,7,-1,0.0,-1.5349303483963013,0.8428287506103516
lots,7,1,4.446624279022217,0.9632954001426697,-0.5337794423103333
needs,7,1,3.777895927429199,1.094515323638916,-1.8142069578170776
manufacturers,7,1,6.363792896270752,-0.39776611328125,-1.7315603494644165
met,7,1,5.118342399597168,0.7738603353500366,-0.761266827583313
action,7,1,5.121387958526611,0.7580378651618958,-1.1486573219299316
Covid-19,7,-1,0.0,-1.5349303483963013,0.8428287506103516
aircraft,7,0,7.326201438903809,0.7993442416191101,-0.7030421495437622
biggest,7,1,4.838437080383301,0.3474181294441223,-1.4781593084335327
"100,000-a",7,-1,0.0,-1.5349303483963013,0.8428287506103516
testingThe,7,-1,0.0,-1.5349303483963013,0.8428287506103516
come,7,1,3.698403835296631,1.0734554529190063,-1.2948975563049316
strategy.15h15,7,-1,0.0,-1.5349303483963013,0.8428287506103516
stories,7,1,5.614729881286621,0.5178363919258118,-1.3180783987045288
challenge,7,1,4.733193874359131,0.7700043320655823,-1.2453281879425049
amid,7,1,4.861536502838135,0.643503725528717,-0.9707600474357605
target,7,1,5.428489685058594,0.5494169592857361,-0.9653376936912537
passengers,6,0,6.2055182456970215,1.8036662340164185,-0.15983377397060394
global,6,1,5.958187103271484,0.16544543206691742,-2.172271490097046
start,6,1,4.228344440460205,1.4298292398452759,-0.3433453440666199
told,6,1,4.874373435974121,1.251633882522583,-1.2688266038894653
donates,6,0,5.826337814331055,-0.23205554485321045,-1.1848419904708862
tips,6,1,5.7758402824401855,0.3764454424381256,-0.6966713666915894
Johnson,6,4,4.776793956756592,-1.8375873565673828,-0.3098016083240509
arrests,6,0,5.835192680358887,0.5220855474472046,-0.5833471417427063
paramedics,6,0,5.4835004806518555,0.9156378507614136,-0.4624905586242676
close,6,1,3.9910943508148193,1.2532061338424683,-0.42143407464027405
vaccine,6,0,7.394301891326904,0.3395935297012329,-1.575924038887024
city,6,1,5.660522937774658,1.0560479164123535,-1.5445092916488647
Rowling,6,4,6.977991104125977,-3.3220341205596924,0.886516273021698
boy,6,1,5.432188987731934,0.3473851978778839,-0.7965406179428101
news,6,1,5.211368560791016,0.264727383852005,-1.3160842657089233
cover,6,1,5.478886604309082,0.20864222943782806,-0.4135655164718628
build,6,1,5.373376846313477,0.6783691644668579,-1.3332372903823853
worker,6,0,5.148797988891602,0.9186326265335083,-1.473320722579956
News,6,1,5.211368560791016,0.264727383852005,-1.3160842657089233
Carrie,6,4,4.390024185180664,-1.928256869316101,0.060691267251968384
Covid,6,-1,0.0,-1.5349303483963013,0.8428287506103516
1,6,3,4.250961780548096,0.07431664317846298,2.11004900932312
R,6,3,6.079874038696289,-1.0589194297790527,0.07391420751810074
stab,6,1,5.374055862426758,-0.3478732407093048,-0.15321265161037445
boarding,5,0,5.915807723999023,0.484249085187912,-0.46466630697250366
antibodies,5,1,8.566743850708008,-0.20134152472019196,0.0018038363195955753
charitiesThe,5,-1,0.0,-1.5349303483963013,0.8428287506103516
ill,5,0,4.956212997436523,0.5727335810661316,-1.2673572301864624
Nicholas,5,4,4.011115074157715,-2.119121789932251,0.05943720042705536
lined,5,1,6.284673690795898,0.002043622313067317,0.04510873928666115
built,5,1,5.690915107727051,0.3960467576980591,-0.8627365231513977
centres,5,1,6.1532816886901855,0.7670748829841614,-0.47710275650024414
lockdown?After,5,-1,0.0,-1.5349303483963013,0.8428287506103516
aspects,5,1,4.929970741271973,0.3214852511882782,-1.874193787574768
lockdown.2h2,5,-1,0.0,-1.5349303483963013,0.8428287506103516
interest,5,1,4.630266189575195,0.9242573976516724,-1.4942831993103027
Potter,5,4,5.850711345672607,-1.6630196571350098,0.1544758528470993
leaving,5,1,4.10369873046875,1.4722295999526978,-0.633410632610321
life,5,1,4.567507266998291,1.5281001329421997,-1.410038709640503
lineTina,5,-1,0.0,-1.5349303483963013,0.8428287506103516
agoHealth,5,-1,0.0,-1.5349303483963013,0.8428287506103516
hoped,5,1,3.999027729034424,0.6067338585853577,-1.385712742805481
Wilfred,5,4,4.443697452545166,-2.4185116291046143,0.43620985746383667
contentIs,5,-1,0.0,-1.5349303483963013,0.8428287506103516
coronavirus.16h16,5,-1,0.0,-1.5349303483963013,0.8428287506103516
agoExplainersWhy,5,-1,0.0,-1.5349303483963013,0.8428287506103516
agoDerbyVideo,5,-1,0.0,-1.5349303483963013,0.8428287506103516
creator,5,1,6.176514625549316,-1.105370283126831,-0.6731712222099304
ago,5,2,5.378772735595703,1.8806564807891846,1.7880568504333496
agoHealthQueues,5,-1,0.0,-1.5349303483963013,0.8428287506103516
contact,5,1,5.798418045043945,0.6209255456924438,-0.8261330723762512
comply,5,1,5.881174564361572,0.14722076058387756,-1.2862491607666016
denied,5,0,5.298924922943115,0.5262616872787476,-1.423927903175354
WorldRelated,5,-1,0.0,-1.5349303483963013,0.8428287506103516
WorldLiveLiveGovernment,5,-1,0.0,-1.5349303483963013,0.8428287506103516
domestic,5,0,5.4981842041015625,0.6919667720794678,-1.8862171173095703
agoLondonJK,5,-1,0.0,-1.5349303483963013,0.8428287506103516
homeless,5,0,5.33273983001709,0.6265228986740112,-2.1131200790405273
agoManchesterEurostar,5,-1,0.0,-1.5349303483963013,0.8428287506103516
everyday,5,1,5.006903171539307,1.1848455667495728,-0.841771125793457
Upminster.2h2,5,-1,0.0,-1.5349303483963013,0.8428287506103516
facesThose,5,-1,0.0,-1.5349303483963013,0.8428287506103516
fatally,5,0,5.970114707946777,0.21953241527080536,0.27421456575393677
father,5,1,5.568460941314697,0.6985211372375488,-1.4234484434127808
clear,5,1,4.308570384979248,0.969655454158783,-1.0044186115264893
found,5,1,4.106996059417725,0.8684409856796265,-0.5743438005447388
StoriesLiveLiveGovernment,5,-1,0.0,-1.5349303483963013,0.8428287506103516
help,5,1,4.386264324188232,1.1963109970092773,-2.135648012161255
helping,5,1,4.353470802307129,1.1081269979476929,-2.2856292724609375
agoUKBoy,5,-1,0.0,-1.5349303483963013,0.8428287506103516
agoUKThousands,5,-1,0.0,-1.5349303483963013,0.8428287506103516
happier,5,1,5.010663032531738,0.3061886727809906,-0.8948023915290833
crucial,5,1,4.562056064605713,0.7826930284500122,-1.7249126434326172
money,5,1,5.036731719970703,1.0069500207901,-1.867913007736206
property,5,1,6.2265472412109375,0.6265272498130798,-1.4910234212875366
recycling,5,1,6.369140148162842,-0.04406384378671646,-1.3949577808380127
reopenCars,5,-1,0.0,-1.5349303483963013,0.8428287506103516
Harry,5,4,5.0434465408325195,-1.8750642538070679,0.032618455588817596
restrictions,5,1,5.744174957275391,0.453479528427124,-1.3565542697906494
Gomoh,5,-1,0.0,-1.5349303483963013,0.8428287506103516
rule.4h4,5,-1,0.0,-1.5349303483963013,0.8428287506103516
say.3h3,5,-1,0.0,-1.5349303483963013,0.8428287506103516
seconds,5,2,5.558126449584961,2.130505323410034,2.699084520339966
seconds3:58Video,5,-1,0.0,-1.5349303483963013,0.8428287506103516
secondsVideo,5,-1,0.0,-1.5349303483963013,0.8428287506103516
Coronavirus,5,-1,0.0,-1.5349303483963013,0.8428287506103516
Continent,5,1,5.748276710510254,-0.027988048270344734,-1.3078051805496216
shot,5,1,6.067957878112793,1.2418465614318848,0.030621182173490524
CommentsTwo,5,-1,0.0,-1.5349303483963013,0.8428287506103516
signal,5,1,7.0784807205200195,0.3245166838169098,-0.24694181978702545
sonCarrie,5,-1,0.0,-1.5349303483963013,0.8428287506103516
stabbed,5,0,5.970114707946777,0.21953241527080536,0.27421456575393677
Brennan,5,4,4.957550048828125,-2.5429041385650635,0.08416470140218735
time,5,1,3.5938527584075928,2.172926187515259,-0.07904044538736343
train,5,1,5.833178997039795,1.4520295858383179,-0.1738201230764389
transformed.19h19,5,-1,0.0,-1.5349303483963013,0.8428287506103516
travelling,5,1,5.453822135925293,0.8620479106903076,-0.3898325264453888
30,5,3,4.14639949798584,1.1470582485198975,2.0904197692871094
trialIt,5,-1,0.0,-1.5349303483963013,0.8428287506103516
victims.4h4,5,-1,0.0,-1.5349303483963013,0.8428287506103516
11,5,3,4.104917049407959,0.4672425091266632,2.020355224609375
virus,5,1,7.601245403289795,-0.018010560423135757,-1.3214123249053955
we?Tracking,5,-1,0.0,-1.5349303483963013,0.8428287506103516
weeks,5,2,4.673937797546387,2.559171676635742,1.3892982006072998
recovered,5,0,5.306611061096191,0.8563506007194519,-0.3152625858783722
secondsTwelve,5,-1,0.0,-1.5349303483963013,0.8428287506103516
opened,5,1,4.877049922943115,0.6747565865516663,-0.22530093789100647
Lawrie,5,4,5.683297634124756,-2.63563871383667,0.2992302477359772
pair,5,1,5.773255825042725,0.1756409853696823,0.15979677438735962
murderDavid,5,-1,0.0,-1.5349303483963013,0.8428287506103516
police,5,0,5.693695068359375,1.6896673440933228,-1.7269484996795654
outbreakBoris,5,-1,0.0,-1.5349303483963013,0.8428287506103516
others.5h5,5,-1,0.0,-1.5349303483963013,0.8428287506103516
London,5,4,5.067295551300049,-1.1142723560333252,-0.44324541091918945
LondonPolice,5,-1,0.0,-1.5349303483963013,0.8428287506103516
Johnson.1han,5,-1,0.0,-1.5349303483963013,0.8428287506103516
number?How,5,-1,0.0,-1.5349303483963013,0.8428287506103516
point,5,1,3.9205527305603027,1.2876098155975342,-0.5034837126731873
plasma,5,1,7.789971351623535,-0.13270515203475952,0.0619782991707325
agoHealthRolls,4,-1,0.0,-1.5349303483963013,0.8428287506103516
seriously,4,1,3.9371213912963867,0.7890853881835938,-1.489869475364685
HomeYour,4,-1,0.0,-1.5349303483963013,0.8428287506103516
care,4,1,5.097537994384766,1.2771810293197632,-2.233041286468506
tests,3,1,6.133163928985596,0.8289670944213867,-0.7770048379898071
★,3,3,6.9197306632995605,-1.2114741802215576,2.169785499572754
cases,3,0,5.150984764099121,1.0871763229370117,-1.4146411418914795
Coach,3,1,7.033976078033447,0.6397449970245361,-0.7405544519424438
CheckSpecial,3,-1,0.0,-1.5349303483963013,0.8428287506103516
lockdown,3,0,5.481675148010254,1.228158950805664,-0.7893394827842712
nations,3,1,6.339447498321533,0.3848629593849182,-2.212848424911499
agoScotland,3,-1,0.0,-1.5349303483963013,0.8428287506103516
changing,3,1,4.254987716674805,0.6085748672485352,-1.2889964580535889
Body,3,1,5.769169330596924,0.9440768957138062,-0.9759691953659058
PicturesNewsbeatReality,3,-1,0.0,-1.5349303483963013,0.8428287506103516
super,3,1,5.564599514007568,-0.2108011394739151,-0.4551381766796112
agoLondonAre,3,-1,0.0,-1.5349303483963013,0.8428287506103516
AudioIn,3,-1,0.0,-1.5349303483963013,0.8428287506103516
ArtsStoriesVideo,3,-1,0.0,-1.5349303483963013,0.8428287506103516
Scotland,3,4,5.209347248077393,-1.9228873252868652,-0.5714702010154724
IrelandScotlandAlbaWalesCymruLocal,3,-1,0.0,-1.5349303483963013,0.8428287506103516
Latest,3,1,4.822266101837158,0.024573827162384987,-0.7283433079719543
grateful,3,1,4.94292688369751,0.48951587080955505,-1.2996294498443604
ReportsLong,3,-1,0.0,-1.5349303483963013,0.8428287506103516
England,3,4,4.417917251586914,-1.6466599702835083,-0.9468078017234802
EducationEntertainment,3,-1,0.0,-1.5349303483963013,0.8428287506103516
nationClose,3,-1,0.0,-1.5349303483963013,0.8428287506103516
minute,2,2,4.4989142417907715,2.4270260334014893,1.9058572053909302
value,2,1,5.735602378845215,0.3425217270851135,-0.9453128576278687
tough,2,1,4.877655029296875,0.9091671705245972,-1.1251020431518555
rocks,2,1,5.819726943969727,-0.14540249109268188,-0.16792134940624237
rest,2,1,3.5338220596313477,1.5473089218139648,-0.559238612651825
novices,2,1,6.066007614135742,-0.4360086917877197,-0.554996132850647
love,2,1,5.021602630615234,0.30846792459487915,-0.9553938508033752
notification,2,1,6.589609622955322,0.12908701598644257,-0.3423417806625366
charity,2,0,6.261151313781738,0.050199318677186966,-1.8236496448516846
updates,2,1,5.516912937164307,0.192548006772995,-0.08299683034420013
dies,2,0,6.191140174865723,0.14570295810699463,-0.36333122849464417
hair,2,1,6.961872577667236,0.5875093340873718,-0.37979432940483093
sign,2,1,4.896332740783691,0.5711345672607422,-0.8187236189842224
nation,2,1,5.401967525482178,0.752013623714447,-2.463871955871582
member,2,1,6.140305519104004,0.3278384506702423,-0.7789092659950256
virusWelsh,2,-1,0.0,-1.5349303483963013,0.8428287506103516
hand,2,1,4.223531246185303,0.7741103768348694,-0.8327639698982239
residents,2,0,5.070760726928711,1.6079925298690796,-1.9162324666976929
hospitals,2,0,5.751007080078125,1.0636591911315918,-2.0054314136505127
ministers,2,1,6.941072463989258,0.11389647424221039,-2.0022408962249756
workouts,2,1,7.312270641326904,0.8476864099502563,0.5289595127105713
previous,2,1,4.245004177093506,0.8661544322967529,-0.2837371528148651
opJoe,2,-1,0.0,-1.5349303483963013,0.8428287506103516
deaths,2,0,5.563347816467285,0.8139708638191223,-1.2672516107559204
thanks,2,1,4.8892364501953125,0.19267982244491577,-0.678021252155304
runs,2,1,5.2369160652160645,1.0572772026062012,0.33000317215919495
criticised,2,1,5.688559532165527,-0.2783776521682739,-1.6499768495559692
homes,2,0,6.496065616607666,0.7911834716796875,-1.665156364440918
crashing,2,1,5.737750053405762,0.3435348868370056,-0.0638965293765068
dying,2,0,4.797417640686035,0.8220348954200745,-1.0099502801895142
cyclists,2,0,6.698434352874756,0.580763578414917,-0.8458278775215149
staff,2,1,5.484908103942871,1.4963912963867188,-1.204548954963684
staff.14m15,2,-1,0.0,-1.5349303483963013,0.8428287506103516
coronavirus,2,1,7.601245403289795,-0.018010560423135757,-1.3214123249053955
introducing,2,1,4.414450168609619,-0.3806511163711548,-0.9931371212005615
seeing,2,1,3.8019490242004395,1.0131381750106812,-1.0851459503173828
suffered,2,0,5.122871398925781,1.166361927986145,-1.3385895490646362
external,2,1,6.011308670043945,0.17426539957523346,-0.8595006465911865
school,2,1,5.6584153175354,1.2188606262207031,-1.293572187423706
surgery.4h4,2,-1,0.0,-1.5349303483963013,0.8428287506103516
complications,2,0,6.04315185546875,0.7110667824745178,-1.0943071842193604
family,2,1,5.337758541107178,0.8763169646263123,-1.8528660535812378
saying,2,1,4.099523067474365,0.7470086216926575,-1.4964423179626465
selectedCoronavirusCoronavirus,2,-1,0.0,-1.5349303483963013,0.8428287506103516
testing,2,1,6.161586284637451,0.7149950265884399,-1.0963020324707031
developing,2,1,4.979623317718506,0.6987624764442444,-2.1007461547851562
☆,2,3,6.9197306632995605,-1.2114741802215576,2.169785499572754
World,2,1,4.656991004943848,0.7059512734413147,-1.7865835428237915
UKFind,2,-1,0.0,-1.5349303483963013,0.8428287506103516
IndustryBusiness,2,-1,0.0,-1.5349303483963013,0.8428287506103516
"105,000",2,0,5.666089057922363,0.21197514235973358,-0.11949477344751358
Home,2,1,4.718161106109619,1.2828917503356934,-1.0771708488464355
NewsWorldWorld,2,-1,0.0,-1.5349303483963013,0.8428287506103516
2019TechScienceHealthFamily,2,-1,0.0,-1.5349303483963013,0.8428287506103516
agoDerbyRolls,2,-1,0.0,-1.5349303483963013,0.8428287506103516
Car,2,1,6.244778156280518,1.0604033470153809,-0.7328391671180725
agoAre,2,-1,0.0,-1.5349303483963013,0.8428287506103516
44,2,3,3.9775633811950684,0.1140669509768486,2.110473871231079
6,2,3,3.857656478881836,0.52978515625,2.357388496398926
agoLondon,2,-1,0.0,-1.5349303483963013,0.8428287506103516
HomeYoung,2,-1,0.0,-1.5349303483963013,0.8428287506103516
CanadaBusinessBusiness,2,-1,0.0,-1.5349303483963013,0.8428287506103516
HomeParliamentsBrexitElection,2,-1,0.0,-1.5349303483963013,0.8428287506103516
HomeEnglandN.,2,-1,0.0,-1.5349303483963013,0.8428287506103516
HomeAfricaAsiaAustraliaEuropeLatin,2,-1,0.0,-1.5349303483963013,0.8428287506103516
ReadsDisability,2,-1,0.0,-1.5349303483963013,0.8428287506103516
Wizard,2,1,6.426973342895508,-1.2444298267364502,-0.31944870948791504
AmericaMiddle,2,-1,0.0,-1.5349303483963013,0.8428287506103516
Wicks,2,4,7.282894611358643,-1.434912919998169,0.7850283980369568
agoHealthWhy,2,-1,0.0,-1.5349303483963013,0.8428287506103516
Read,2,1,4.813422679901123,0.7707249522209167,-0.033967699855566025
agoLondonLiveLiveCoronavirus,2,-1,0.0,-1.5349303483963013,0.8428287506103516
agoWales,2,-1,0.0,-1.5349303483963013,0.8428287506103516
DataCompaniesEconomyGlobal,2,-1,0.0,-1.5349303483963013,0.8428287506103516
SportPoliticsPolitics,2,-1,0.0,-1.5349303483963013,0.8428287506103516
StoriesMost,2,-1,0.0,-1.5349303483963013,0.8428287506103516
StoriesUKUK,2,-1,0.0,-1.5349303483963013,0.8428287506103516
Scottish,2,4,5.278576850891113,-2.311439275741577,-0.5290014743804932
EastUS,2,-1,0.0,-1.5349303483963013,0.8428287506103516
EducationFamily,2,-1,0.0,-1.5349303483963013,0.8428287506103516
MoneyMarket,2,-1,0.0,-1.5349303483963013,0.8428287506103516
 ,2,-1,0.0,-1.5349303483963013,0.8428287506103516
Education,2,1,5.712996006011963,0.7934817671775818,-2.4279956817626953
ReporterGlobal,2,-1,0.0,-1.5349303483963013,0.8428287506103516
